,date,demand
1032,2017-10-29,92182.955
1033,2017-10-30,112227.65000000004
1034,2017-10-31,116179.47000000002
1035,2017-11-01,116632.08999999998
1036,2017-11-02,120470.78500000002
1037,2017-11-03,113451.99499999998
1038,2017-11-04,101610.81499999996
1039,2017-11-05,95368.165
1040,2017-11-06,104632.79
1041,2017-11-07,100592.295
1042,2017-11-08,111738.485
1043,2017-11-09,113539.935
1044,2017-11-10,115156.44499999998
1045,2017-11-11,104194.345
1046,2017-11-12,98774.23499999996
1047,2017-11-13,125795.84000000004
1048,2017-11-14,135420.81999999998
1049,2017-11-15,130385.05
1050,2017-11-16,116715.965
1051,2017-11-17,117797.62000000004
1052,2017-11-18,106730.21
1053,2017-11-19,101256.78
1054,2017-11-20,128658.26999999996
1055,2017-11-21,137151.495
1056,2017-11-22,138882.25
1057,2017-11-23,135162.11500000002
1058,2017-11-24,133951.29
1059,2017-11-25,121219.595
1060,2017-11-26,108717.875
1061,2017-11-27,115429.005
1062,2017-11-28,129798.46999999994
1063,2017-11-29,151730.94999999995
1064,2017-11-30,154632.33500000002
1065,2017-12-01,125141.89999999998
1066,2017-12-02,99234.22
1067,2017-12-03,92487.705
1068,2017-12-04,111625.98
1069,2017-12-05,113063.675
1070,2017-12-06,115383.13
1071,2017-12-07,115736.97
1072,2017-12-08,109568.47
1073,2017-12-09,99334.80000000002
1074,2017-12-10,97715.01
1075,2017-12-11,114680.185
1076,2017-12-12,121945.17500000002
1077,2017-12-13,146933.095
1078,2017-12-14,129280.81
1079,2017-12-15,120821.05499999992
1080,2017-12-16,110154.36000000004
1081,2017-12-17,107212.84
1082,2017-12-18,138949.675
1083,2017-12-19,142870.39500000002
1084,2017-12-20,114916.98999999996
1085,2017-12-21,114462.53000000006
1086,2017-12-22,116428.79000000002
1087,2017-12-23,109364.01
1088,2017-12-24,92856.22999999997
1089,2017-12-25,85094.37499999999
1090,2017-12-26,98638.855
1091,2017-12-27,128753.755
1092,2017-12-28,130699.15499999994
1093,2017-12-29,115572.045
1094,2017-12-30,96358.975
1095,2017-12-31,95700.48
1096,2018-01-01,95959.68499999998
1097,2018-01-02,105277.85000000002
1098,2018-01-03,106373.82500000004
1099,2018-01-04,113337.68499999994
1100,2018-01-05,123247.735
1101,2018-01-06,133705.845
1102,2018-01-07,107142.81500000002
1103,2018-01-08,118832.07
1104,2018-01-09,111361.04999999994
1105,2018-01-10,116530.04
1106,2018-01-11,139607.90499999994
1107,2018-01-12,132022.86999999994
1108,2018-01-13,98977.05
1109,2018-01-14,92021.68000000002
1110,2018-01-15,109389.095
1111,2018-01-16,116074.03
